,English,English_cleaned,Spanish,French,German
450,say hello,say hello,di hola,dis bonjour,sag Hallo
451,see above,see above,véase más arriba,voir au dessus,siehe oben
452,see below,see below,vea abajo,voir ci-dessous,siehe unten
453,seize him,seize him,apoderarse de él,Capturez-le,ergreife ihn
454,seriously,seriously,en serio,sérieusement,Ernsthaft
455,she cried,she cried,ella lloró,elle a pleuré,Sie weinte
456,she tried,she tried,Ella intentó,Elle a essayé,Sie versuchte
457,she walks,she walks,ella camina,elle marche,Sie läuft
458,she's hot,she is hot,ella es caliente,elle est chaude,Sie ist heiß
459,sign here,sign here,Firma aqui,signez ici,Hier unterschreiben
460,sign this,sign this,firma esto,signer ceci,unterschreib das
461,slow down,slow down,desacelerar,ralentir,langsamer
462,stay away,stay away,Mantente alejado,reste loin,Bleib weg
463,stay back,stay back,quedarse atrás,reste en arrière,Bleib zurück
464,stay calm,stay calm,mantén la calma,reste calme,Bleib ruhig
465,stay down,stay down,Quédate abajo,Reste au sol,unten bleiben
466,stay here,stay here,Quédate aquí,reste ici,Bleib hier
467,stay thin,stay thin,mantenerse delgado,rester mince,bleib dünn
468,step back,step back,Paso atrás,reculer,zurücktreten
469,stop that,stop that,Para,arrête ça,Hör auf damit
470,stop them,stop them,detenerlos,arrête-les,Stoppe sie
471,take care,take care,cuídate,prenez soin de vous,Pass auf
472,take mine,take mine,toma el mio,Prends le mien,Nimm meins
473,take this,take this,toma esto,Prends ça,Nimm das
474,thank you,thank you,gracias,Merci,Danke
475,that's ok,that is ok,Es correcto,c'est bon,das ist ok
476,that's it,that is it,eso es,c'est ça,das ist es
477,then what,then what,y que,alors quoi,dann was
478,they fell,they fell,ellos cayeron,ils sont tombés,Sie fielen
479,they left,they left,se fueron,ils sont partis,sie gingen
480,they lied,they lied,ellos mintieron,ils ont menti,Sie haben gelogen
481,they lost,they lost,perdieron,ils ont perdu,Sie verloren
482,they swam,they swam,ellos nadaron,ils ont nagé,Sie schwammen
483,time's up,time s up,se acabó el tiempo,le temps est écoulé,die Zeit ist um
484,tom cooks,tom cooks,tom cocina,Tom cuisiniers,Tom kocht
485,tom cried,tom cried,Tom lloró,Tom a pleuré,rief Tom
486,tom is ok,tom is ok,Tom está bien,tom va bien,Tom ist in Ordnung
487,tom knits,tom knits,tom teje,Tom tricote,Tom strickt
488,tom knows,tom knows,tom sabe,tom sait,tom weiß
489,tom rocks,tom rocks,tom rocas,tom rochers,tom rockt
490,tom spoke,tom spoke,Tom habló,tom a parlé,Tom sprach
491,tom waved,tom waved,tom saludó,Tom a fait signe,Tom winkte
492,tom works,tom works,tom trabaja,tom travaille,Tom arbeitet
493,tom's fat,tom s fat,tom es gordo,la graisse de tom,Toms Fett
494,tom's mad,tom s mad,Tom está loco,tom est fou,Tom ist sauer
495,tom's sad,tom s sad,Tom está triste,Tom est triste,Tom ist traurig
496,trust tom,trust tom,confía en tom,faire confiance à tom,vertraue tom
497,try again,try again,intentar otra vez,réessayer,versuchen Sie es nochmal
498,try it on,try it on,intentalo,essaye le,probiere es an
499,turn left,turn left,Gire a la izquierda,Tourner à gauche,Biegen Sie links ab
500,wait here,wait here,espera aquí,attends ici,Warten Sie hier
501,watch out,watch out,Cuidado,Fais attention,Achtung
502,we agreed,we agreed,acordamos,Nous sommes d'accord,wir waren uns einig
503,we did it,we did it,lo hicimos,nous l'avons fait,Wir haben es geschafft
504,we forgot,we forgot,olvidamos,Nous avons oublié,wir haben vergessen
505,we saw it,we saw it,lo vimos,nous l'avons vu,wir haben es gesehen
506,we smiled,we smiled,nosotros sonreímos,nous avons souri,wir lächelten
507,we talked,we talked,hablamos,nous avons parlé,wir redeten
508,we waited,we waited,nosotros esperamos,nous avons attendu,wir warteten
509,we walked,we walked,nosotros caminamos,nous avons marché,wir gingen
510,we'll try,we will try,vamos a tratar,nous essayerons,wir werden es versuchen
511,we'll win,we will win,ganaremos,nous gagnerons,wir werden gewinnen
512,we're hot,we are hot,tenemos calor,On a chaud,Wir sind heiß
513,we're sad,we are sad,estamos tristes,nous sommes tristes,wir sind traurig
514,we're shy,we are shy,somos timidos,nous sommes timides,wir sind schüchtern
515,well done,well done,bien hecho,bien fait,gut erledigt
516,what's up,what is up,Qué pasa,ce qui se passe,Was ist los
517,who cares,who cares,a quien le importa,on s'en fout,wen interessiert das
518,who is he,who is he,quién es él,qui est-il,Wer ist er
519,who is it,who is it,Quién es,Qu'est-ce,Wer ist es
520,who knows,who knows,quién sabe,qui sait,Wer weiß
521,who spoke,who spoke,quien habló,qui a parlé,Wer sprach
522,who'll go,who will go,quién irá,qui ira,Wer wird gehen
523,who's tom,who is tom,quien es Tom,qui est tom,wer ist Tom
524,who's ill,who is ill,quien esta enfermo,qui est malade,wer ist krank
525,wonderful,wonderful,maravilloso,magnifique,wunderbar
526,write tom,write tom,escribir tom,écrire à tom,schreib Tom
527,you drive,you drive,usted conduce,vous conduisez,du fährst
528,you idiot,you idiot,idiota,toi idiot,du Idiot
529,you start,you start,empiezas,tu commences,Sie beginnen
530,you tried,you tried,intentaste,tu as essayé,du versuchtest
531,you're ok,you are ok,estás bien,tu vas bien,du bist in Ordnung
532,aim higher,aim higher,apuntar más alto,viser plus haut,Ziele höher
533,all aboard,all aboard,todos a bordo,tous à bord,Alle einsteigen
534,am i clear,am i clear,¿Estoy claro?,suis-je clair,Ist das klar
535,am i dying,am i dying,me estoy muriendo,suis-je en train de mourir,sterbe ich
536,am i early,am i early,Llegué temprano,est-ce que je suis en avance,Bin ich früh
537,am i fired,am i fired,estoy despedido,suis-je viré,bin ich gefeuert
538,am i first,am i first,¿Soy el primero?,suis-je le premier,bin ich der erste
539,am i hired,am i hired,estoy contratado,suis-je embauché,bin ich angestellt
540,am i right,am i right,¿tengo razón?,ai-je raison,habe ich recht
541,am i wrong,am i wrong,Me equivoco,ai-je tort,Liege ich falsch
542,answer tom,answer tom,responde tom,répondre à tom,antworte tom
543,are you ok,are you ok,Estas bien,êtes-vous ok,geht es dir gut?
544,are you up,are you up,estás levantado,es-tu debout,Bist du auf
545,ask anyone,ask anyone,pregúntale a cualquiera,demander à n'importe qui,frag irgendjemanden
546,ask around,ask around,pregunta por ahí,Demande autour de toi,herumfragen
547,be careful,be careful,ten cuidado,faire attention,vorsichtig sein
548,be content,be content,estar contento,être content,sei zufrieden
549,be on time,be on time,llegar a tiempo,Être à l'heure,pünktlich sein
550,be patient,be patient,se paciente,être patient,Sei geduldig
551,be serious,be serious,se Serio,sois sérieux,ernst sein
552,birds sing,birds sing,pájaros cantan,les oiseaux chantent,Vögel singen
553,bottoms up,bottoms up,de abajo hacia arriba,de bas en haut,unten nach oben
554,bring food,bring food,trae comida,apporter de la nourriture,Essen bringen
555,bring wine,bring wine,traer vino,apporter du vin,Wein bringen
556,can i come,can i come,Puedo ir,puis-je venir,kann ich kommen
557,can i help,can i help,puedo ayudar,puis-je aider,kann ich helfen
558,can i stay,can i stay,Me puedo quedar,Puis-je rester,kann ich bleiben
559,carry this,carry this,lleva esto,porte ça,trage diese
560,check that,check that,Mira esto,regarde ça,prüfe das
561,check this,check this,Mira esto,Vérifiez ça,Überprüfen Sie dies
562,choose one,choose one,elige uno,choisissez-en un,wähle ein
563,come again,come again,llegar de nuevo,Répète,Komm wieder
564,come alone,come alone,ven solo,viens seul,Komm alleine
565,come along,come along,venir también,venez,mitkommen
566,come early,come early,ven temprano,viens tôt,komm früh
567,come on in,come on in,venga,entre,Komm herrein
568,come quick,come quick,Ven rápido,viens vite,Komm schnell
569,come to me,come to me,Ven a mi,venez à moi,komm zu mir
570,come to us,come to us,ven a nosotros,viens à nous,Komm zu uns
571,cut it out,cut it out,cortalo,découper,schneide es aus
572,did we win,did we win,¿Ganamos?,avons-nous gagné,haben wir gewonnen
573,dig faster,dig faster,cavar más rápido,creuser plus vite,schneller graben
574,do i stink,do i stink,apesto,est-ce que je pue,stinke ich
575,do men cry,do men cry,los hombres lloran,les hommes pleurent-ils,weinen Männer
576,don't fret,do not fret,no se preocupe,ne vous inquiétez pas,nicht ärgern
577,don't jump,do not jump,no saltes,ne pas sauter,Spring nicht
578,don't move,do not move,No se mueva,Ne bougez pas,Nicht bewegen
579,don't rush,do not rush,no te apresures,ne vous précipitez pas,überstürz es nicht
580,don't sing,do not sing,no cantes,Ne chantez pas,nicht singen
581,don't talk,do not talk,no hables,ne parlez pas,sprich nicht
582,don't wait,do not wait,no esperes,n'attend pas,warte nicht
583,duty calls,duty calls,el deber llama,les appels du devoir,Die Pflicht ruft
584,face facts,face facts,encara los hechos,affronter les faits,Tatsachen ins Auge sehen
585,fill it up,fill it up,llénalo,remplissez-le,auffüllen
586,find a job,find a job,encontrar un trabajo,trouver un travail,einen Beruf finden
587,follow tom,follow tom,sigue a tom,suivre tom,Folge Tom
588,follow him,follow him,SIGUELO,suis-le,Folge ihm
589,forget tom,forget tom,olvida a tom,oublier tom,vergiss tom
590,forget him,forget him,Olvídate de él,l'oublier,Vergiss ihn
591,forgive me,forgive me,perdóname,pardonne-moi,vergib mir
592,forgive us,forgive us,perdónanos,Pardonnez-nous,vergib uns
593,get a life,get a life,consigue una vida,achète-toi une vie,hast du nichts anderes zu tun
594,get inside,get inside,entrar,pénétrer,Komm rein
595,get to bed,get to bed,llegar a la cama,aller au lit,Zu Bett gehen
596,give it up,give it up,ríndete,abandonner,es aufgeben
597,go outside,go outside,Salir afuera,sors,geh nach draussen
598,go warm up,go warm up,ve a calentar,va te réchauffer,geh aufwärmen
599,he gave in,he gave in,se rindió,il a cédé,er gab nach
600,he hung up,he hung up,colgó,il a raccroché,er hat aufgelegt
601,he is a dj,he is a dj,el es un dj,il est DJ,er ist dj
602,he is busy,he is busy,el está ocupado,il est occupé,Er ist beschäftigt
603,he is here,he is here,Él está aquí,il est là,er ist hier
604,he is kind,he is kind,él es amable,il est gentil,er ist nett
605,he is late,he is late,el llega tarde,il est en retard,er ist spät
606,he is lazy,he is lazy,Él es perezoso,Il est paresseux,er ist faul
607,he is poor,he is poor,él es pobre,il est pauvre,er ist arm
608,he is sick,he is sick,él está enfermo,il est malade,er ist krank
609,he made it,he made it,El lo hizo,il l'a fait,er hat es geschafft
610,he's swiss,he is swiss,el es suizo,il est suisse,er ist schweizer
611,he's broke,he is broke,el esta quebrado,il est fauché,er ist pleite
612,he's drunk,he is drunk,Está borracho,il est ivre,er ist betrunken
613,he's smart,he is smart,el es inteligente,il est intelligent,Er ist schlau
614,head north,head north,dirígete al norte,Dirigez-vous vers le nord,richtung Norden
615,here he is,here he is,aquí está él,il est la,hier ist er
616,here it is,here it is,aquí está,C'est ici,Hier ist es
617,here we go,here we go,Aquí vamos,nous y voilà,Auf geht's
618,hold still,hold still,quédate quieto,tenir bon,still halten
619,how absurd,how absurd,que absurdo,comme c'est absurde,wie absurd
620,how is tom,how is tom,como esta tom,comment va tom,wie geht es tom
621,how lovely,how lovely,que adorable,si jolie,wie schön
622,how's work,how is work,como es el trabajo,comment est le travail,wie ist die Arbeit
623,hurry home,hurry home,Corre a casa,dépêchez-vous de rentrer à la maison,nach Hause eilen
624,i admit it,i admit it,lo admito,je l'admets,ich gebe es zu
625,i am a man,i am a man,Yo soy un hombre,je suis un homme,ich bin ein Mann
626,i am human,i am human,Soy humano,Je suis humain,Ich bin Menschlich
627,i am ready,i am ready,estoy listo,je suis prêt,ich bin bereit
628,i am right,i am right,yo tengo razón,j'ai raison,Ich habe recht
629,i broke it,i broke it,lo rompi,je l'ai cassé,Ich habe es kaputt gemacht
630,i built it,i built it,lo construí,je l'ai construit,Ich habe es gebaut
631,i can come,i can come,puedo venir,Je peux venir,ich kann kommen
632,i can cook,i can cook,puedo cocinar,je peux cuisiner,ich kann kochen
633,i can jump,i can jump,puedo saltar,je peux sauter,ich kann springen
634,i can read,i can read,puedo leer,je peux lire,ich kann lesen
635,i can sing,i can sing,puedo cantar,Je peux chanter,ich kann singen
636,i can stay,i can stay,me puedo quedar,Je peux rester,ich kann bleiben
637,i can swim,i can swim,puedo nadar,je peux nager,ich kann schwimmen
638,i can wait,i can wait,puedo esperar,je peux attendre,Ich kann warten
639,i can walk,i can walk,puedo caminar,je peux marcher,Ich kann laufen
640,i can't go,i cannot go,no puedo ir,Je ne peux pas aller,ich kann nicht gehen
641,i canceled,i canceled,yo cancelé,j'ai annulé,Ich habe abgesagt
642,i did that,i did that,yo lo hice,Je l'ai fait,Ich habe das gemacht
643,i disagree,i disagree,no estoy de acuerdo,je ne suis pas d'accord,ich stimme dir nicht zu
644,i do worry,i do worry,Me preocupa,je m'inquiète,Ich mache mir Sorgen
645,i doubt it,i doubt it,Lo dudo,j'en doute,das bezweifle ich
646,i eat here,i eat here,yo como aqui,je mange ici,Ich esse hier
647,i envy tom,i envy tom,envidio a tom,j'envie tom,Ich beneide Tom
648,i envy her,i envy her,Yo la envidio,je l'envie,ich beneide Sie
649,i envy him,i envy him,lo envidio,je l'envie,Ich beneide ihn
650,i envy you,i envy you,Te envidio,Je vous envie,ich beneide dich
651,i exercise,i exercise,Ejercito,Je m'entraine,Ich trainiere
652,i feel bad,i feel bad,Me siento mal,Je me sens mal,Ich fühle mich schlecht
653,i feel old,i feel old,me siento viejo,je me sens vieux,Ich fühle mich alt
654,i felt bad,i felt bad,me senti mal,Je me sentais mal,ich habe mich schlecht gefühlt
655,i felt ill,i felt ill,me sentí enferma,je me suis senti malade,ich fühlte mich krank
656,i felt sad,i felt sad,me sentí triste,Je me suis senti triste,ich fühlte mich traurig
657,i fixed it,i fixed it,Lo arreglé,Je l'ai corrigé,ich habe es repariert
658,i found it,i found it,Lo encontré,je l'ai trouvé,ich habe es gefunden
659,i got busy,i got busy,me puse ocupado,je suis occupé,Ich war beschäftigt
660,i got hurt,i got hurt,me lastimé,J'ai été blessé,Ich wurde verletzt
661,i got lost,i got lost,me perdí,je me suis perdu,Ich habe mich verlaufen
662,i got sick,i got sick,me enferme,je suis tombé malade,Ich wurde krank
663,i guess so,i guess so,supongo que sí,je suppose,Ich denke schon
664,i had help,i had help,tuve ayuda,j'ai eu de l'aide,ich hatte hilfe
665,i hate you,i hate you,Te odio,je te deteste,ich hasse dich
666,i have one,i have one,tengo uno,j'en ai un,Ich habe eine
667,i have won,i have won,Yo he ganado,j'ai gagné,ich habe gewonnen
668,i hear you,i hear you,te escucho,je t'entends,ich höre dich
669,i help him,i help him,Yo lo ayudo,je l'aide,ich helfe ihm
670,i hope not,i hope not,Espero que no,J'espère que non,ich hoffe nicht
671,i know cpr,i know cpr,Sé RCP,je connais la RCR,Ich kenne Cpr
672,i know her,i know her,la conozco,je la connais,ich kenne sie
673,i know him,i know him,Lo conozco,je le connais,ich kenne ihn
674,i like tom,i like tom,me gusta tom,j'aime tom,ich mag tom
675,i like art,i like art,Me gusta el arte,J'aime l'art,Ich mag Kunst
676,i like him,i like him,me gusta el,je l'aime,ich mag ihn
677,i like tea,i like tea,me gusta el té,J'aime le thé,Ich mag Tee
678,i like you,i like you,me gustas,je t'aime bien,Ich mag dich
679,i liked it,i liked it,me gustó,Je l'ai aimé,Ich mochte es
680,i listened,i listened,escuché,j'ai écouté,ich hörte
681,i love tom,i love tom,amo a tom,j'aime tom,ich liebe tom
682,i love tea,i love tea,amo el te,J'aime le thé,Ich mag Tee
683,i love you,i love you,te quiero,je t'aime,ich liebe dich
684,i loved it,i loved it,me encantó,je l'ai aimé,Ich liebte es
685,i made tea,i made tea,hice té,j'ai fait du thé,Ich habe Tee gemacht
686,i made two,i made two,hice dos,j'en ai fait deux,Ich habe zwei gemacht
687,i met them,i met them,Los conocí,je les ai rencontrés,ich habe sie getroffen
688,i must run,i must run,debo correr,je dois courir,Ich muss laufen
689,i need air,i need air,necesito aire,J'ai besoin d'air,ich brauche Luft
690,i need ice,i need ice,necesito hielo,j'ai besoin de glace,Ich brauche Eis
691,i need you,i need you,Te necesito,j'ai besoin de vous,ich brauche dich
692,i panicked,i panicked,me entró el pánico,j'ai paniqué,Ich geriet in Panik
693,i promised,i promised,Yo prometí,J'ai promis,ich versprach
694,i ran away,i ran away,me escapé,je me suis enfui,Ich renne weg
695,i ran home,i ran home,corrí a casa,j'ai couru à la maison,ich rannte nach Hause
696,i remember,i remember,yo recuerdo,je me rappelle,Ich erinnere mich
697,i said yes,i said yes,Dije si,J'ai dit oui,Ich sagte ja
698,i sat down,i sat down,me senté,je me suis assis,ich setzte mich hin
699,i saw that,i saw that,Vi eso,j'ai vu ça,das habe ich gesehen
700,i saw them,i saw them,los vi,je les ai vu,ich habe sie gesehen
701,i screamed,i screamed,Grité,j'ai crié,ich schrie
702,i see them,i see them,los veo,je les vois,ich sehe sie
